flaga;metoda;pewnosc;score;lp;ean;bloz;cennik_nazwa;netto_100;vat_cennik;wc_id;wc_sku;wc_nazwa;wc_status;brutto_wc;tax_class;vat_wc;netto_wc;roznica_zl;roznica_pct;brutto_oczek;delta_brutto;vat_zgodny
;NAZWA;NIEPEWNE;1.15;78;5903317643197;7084385;MAŚĆ ŻYWOKOSTOWA Z OLEJEM CBD 140ml;20.10;23%;175;GV-131;Maść żywokostowa z olejem CBD 140ml;publish;25.00;standard;23%;20.33;+0.23;+1.1%;24.72;+0.28;T
;NAZWA;NIEPEWNE;1.135;33;8594011210173;8063511;COLAFIT SLIM Z CHITOSANEM X 60 KAPS.;47.00;8%;41;GV-42;Colafit SLIM z Chitosanem 60 kapsułek;publish;51.00;reduced-rate;8%;47.22;+0.22;+0.5%;50.76;+0.24;T
;NAZWA;NIEPEWNE;0.836;2;5907636994893;7051439;ALANTOIN MAŚĆ 50ML;11.60;23%;93;GV-23;Alantoin Maść 50 ml;publish;14.00;standard;23%;11.38;-0.22;-1.9%;14.27;-0.27;T
;NAZWA;NIEPEWNE;0.939;122;5907636994459;7030375;ŻEL Z ŻYWOKOSTEM 200 ML;18.50;23%;216;GV-94;Żel z Żywkostem 200 ml;publish;23.00;standard;23%;18.70;+0.20;+1.1%;22.75;+0.25;T
;NAZWA;NIEPEWNE;0.89;58;5907636994442;7049996;MAŚĆ DLA SPORTOWCÓW 150ML;18.50;23%;143;GV-56;Maść dla Sportowców 150 ml;publish;23.00;standard;23%;18.70;+0.20;+1.1%;22.75;+0.25;T
;NAZWA;NIEPEWNE;0.837;56;5907636994886;3027661;MAŚĆ ARNIKOWA 130ML;18.50;23%;139;GV-54;Maść Arnikowa 130 ml;publish;23.00;standard;23%;18.70;+0.20;+1.1%;22.75;+0.25;T
;NAZWA;NIEPEWNE;1.15;98;5907636994374;9061703;RABKA SPA MINERALE ŻEL 200 ML;17.40;8%;197;GV-107;RABKA SPA MINERALE żel 200 ml;publish;19.00;reduced-rate;8%;17.59;+0.19;+1.1%;18.79;+0.21;T
;NAZWA;NIEPEWNE;1.0;76;5903317643241;7091962;MOSQITOS ZESTAW PŁYN 20ML i ŻEL 20 ML;13.20;23%;179;GV-150;Mosqitos Zestaw Płyn 20ml i Żel 20ml;publish;16.00;standard;23%;13.01;-0.19;-1.5%;16.24;-0.24;T
;NAZWA;NIEPEWNE;1.15;38;5907636994862;7050163;DIABELSKI (CZARCI) PAZUR BALSAM 200 ML;19.70;23%;109;GV-45;Diabelski (Czarci) Pazur balsam 200 ml;publish;24.00;standard;23%;19.51;-0.19;-1.0%;24.23;-0.23;T
;NAZWA;NIEPEWNE;1.15;69;5907636994237;7068925;MAŚĆ ŚWIERKOWA 135 ML;19.70;23%;167;GV-100;Maść Świerkowa 135 ml;publish;24.00;standard;23%;19.51;-0.19;-1.0%;24.23;-0.23;T
