# plan_ean_STAGING — sekcja 1: DO_WERYFIKACJI (w tym wymuszone: sprzeczna gramatura/pojemność), potem AUTO, potem POMIŃ
sku;wc_id;wc_sku_obecny;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;score;runner_up;metoda;decyzja;powod_pominiecia;powod
5907636994503;111;5907636994503;Końska Maść 250 ml;62;MAŚĆ KOŃSKA ROZGRZEWAJACA 250ML;5907636994503;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994558;2056;5907636994558;Maść Końska Rozgrzewająca 130ml;63;MAŚĆ KOŃSKA ROZGRZEWAJĄCA 130 ML;5907636994558;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994695;161;5907636994695;Maść Propolisowa 10% z witaminami A,E,F 50 ml;66;MAŚĆ PROPOLISOWA 50ML;5907636994695;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994879;2069;5907636994879;Maść Witaminowa 50ml;70;MAŚĆ WITAMINOWA 50ML;5907636994879;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994510;2070;5907636994510;Maść Żywokostowa 130ml;74;MAŚĆ ŻYWOKOSTOWA 130 ML;5907636994510;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5903317643234;177;5903317643234;Mosqitos 100ml;75;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 100ML;5903317643234;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5903317643258;2058;5903317643258;Mosqitos Płyn 20ml;77;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 20ML;5903317643258;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994534;187;5907636994534;Panthenol Żel 100 ml;89;PANTHENOL ŻEL Z ALOESEM I ALANTOINĄ 100 ML;5907636994534;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994596;2059;5907636994596;Pneumovit Pastylki x16;91;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x16 pastylek;5907636994596;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994565;2060;5907636994565;Pneumovit Pastylki x8;92;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x8 pastylek;5907636994565;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994282;2061;5907636994282;Pneumovit Sept Aerozol 35ml;93;PNEUMOVIT SEPT AEROZOL DO GARDŁA 35 ML;5907636994282;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994022;2063;5907636994022;Selen A,C,E Antyoksydanty x30 tab.;101;SELEN A ,C, E ANTYOKSYDANTY X 30 TAB.;5907636994022;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994381;199;5907636994381;Venal Spray 115 ml;104;VENAL SPRAY NA ZMĘCZONE NOGI, ŻYLAKI 115ml;5907636994381;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5903317643302;1441;5903317643302;Witamina C 500mg VEGAN;106;WITAMINA C 500mg VEGAN z Aceroli X 60 KAPS.;5903317643302;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994190;2065;5907636994190;Zdrowe Oczy x30 kaps.;108;ZDROWE OCZY OCHRONA I REGENERACJA x30 kaps.;5907636994190;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
5907636994923;2071;5907636994923;Żyworódka w Płynie 115ml;125;ŻYWORÓDKA W PŁYNIE 115 ML;5907636994923;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
GV-33;18;GV-33;Artrofit 3w1 60 kapsułek;11;ARTROFIT X 60 KAPS.;8594011210104;0.972;0.812;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.812 vs 0.972
GV-112;65;GV-112;Magnez B6 60 kapsułek;55;MAGNEZ B6 VEGAN X 60 KAPS.;5903317643296;0.955;0.825;NAZWA;POMIŃ;FLAGA;FLAGA z Etapu 0 — nadpisuje próg
GV-22;12;GV-22;Acerola 500mg 60 kapsułek;1;ACEROLA x 60 KAPS.;5907636994152;0.946;0.874;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.874 vs 0.946
GV-104;79;GV-104;Rokitnik i Acerola 60 kapsułek;100;ROKITNIK I ACEROLA x60 kaps.;5907636994138;0.941;0.874;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.874 vs 0.941
GV-94;216;GV-94;Żel z Żywkostem 200 ml;122;ŻEL Z ŻYWOKOSTEM 200 ML;5907636994459;0.939;0.833;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.833 vs 0.939
GV-78;201;GV-78;Venal Żel 150 ml;105;VENAL ŻEL CHŁODZĄCY 150 ML;5907636994336;0.931;0.761;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.761 vs 0.931
GV-43;43;GV-43;Colahial 60 kapsułek;34;COLAHIAL KOLAGEN X 60 KAPS.;5907636994817;0.906;0.824;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.824 vs 0.906
GV-93;220;GV-93;Żel Żywokostowy z Boswellią 200 ml;121;ŻEL Z ŻYWOK. I BOSWELLIĄ 200 ML;5907636994473;0.905;0.785;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.785 vs 0.905
GV-86;207;GV-86;Żel kasztanowy z rutyną 200 ml;114;ŻEL KASZTANOWY Z RUTYNĄ 200ML;5907636994619;0.892;0.764;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.764 vs 0.892
GV-24;95;GV-24;AloeVera Żel 150 ml;3;ALOE VERA ŻEL 150 ML;5907636994367;0.887;0.761;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.761 vs 0.887
GV-115;77;GV-115;Resveratrol 60 kapsułek;99;RESVERATROL x60 kaps.;5907636994961;0.887;0.742;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.742 vs 0.887
GV-103;35;GV-103;Citrogreft 60 kapsułek;30;CITROGREFT x60 kaps.;5907636994978;0.886;0.778;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.778 vs 0.886
GV-130;53;GV-130;Geriafix x60 kapsułek;42;GERIAFIX X 60 KAPS.;5907636994848;0.886;0.724;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.724 vs 0.886
GV-102;83;GV-102;Spirulina 60 kapsułek;103;SPIRULINA x60 kaps.;5907636994947;0.886;0.714;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.714 vs 0.886
GV-105;61;GV-105;Jarmuż 60 kapsułek;45;JARMUŻ x60 kaps.;5907636994954;0.883;0.723;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.723 vs 0.883
